Episode,Timestep,AttemptNum,ButtonData,GRUOutput,TruePositiveCount,TrueNegativeCount,FalsePositiveCount,FalseNegativeCount
70,11,0,0,0.55,1,1283,160,1
71,10,0,0,0.96,1,1302,161,1
71,11,0,0,0.96,1,1302,162,1
71,12,0,0,0.6,1,1302,163,1
71,13,0,0,0.71,1,1302,164,1
71,25,0,0,0.51,1,1313,165,1
73,10,0,0,0.63,1,1339,166,1
73,15,0,0,0.71,1,1343,167,1
73,17,0,0,0.8,1,1344,168,1
73,21,0,0,0.63,1,1347,169,1
73,24,0,0,0.61,1,1349,170,1
74,12,0,0,0.63,1,1357,171,1
74,13,0,0,0.76,1,1357,172,1
74,14,0,0,0.87,1,1357,173,1
74,15,0,0,0.68,1,1357,174,1
74,21,0,0,0.76,1,1362,175,1
74,22,0,0,0.56,1,1362,176,1
74,23,0,0,0.63,1,1362,177,1
74,24,0,0,1.07,1,1362,178,1
74,25,0,0,1.0,1,1362,179,1
74,26,0,0,0.75,1,1362,180,1
75,11,0,0,0.67,1,1367,181,1
76,28,0,0,0.77,1,1404,182,1
76,29,0,0,0.81,1,1404,183,1
77,18,0,0,0.8,1,1413,184,1
77,19,0,0,0.85,1,1413,185,1
77,22,0,0,0.51,1,1415,186,1
78,21,0,0,0.84,1,1434,187,1
79,26,0,0,0.86,1,1459,188,1
79,27,0,0,0.78,1,1459,189,1
79,28,0,0,0.92,1,1459,190,1
79,30,0,0,0.51,1,1460,191,1
80,28,0,0,0.62,1,1478,192,1
80,29,0,0,0.9,1,1478,193,1
80,30,0,0,0.72,1,1478,194,1
81,13,0,0,0.58,1,1481,195,1
81,14,0,0,0.61,1,1481,196,1
81,27,0,0,0.56,1,1493,197,1
81,29,0,0,0.81,1,1494,198,1
82,10,0,0,0.62,1,1495,199,1
82,11,0,0,0.66,1,1495,200,1
82,12,0,0,0.58,1,1495,201,1
82,28,0,0,0.56,1,1510,202,1
82,29,0,0,0.59,1,1510,203,1
83,19,0,0,0.7,1,1520,204,1
83,21,0,0,0.71,1,1521,205,1
83,22,0,0,0.89,1,1521,206,1
83,23,0,0,0.66,1,1521,207,1
83,28,0,0,0.63,1,1525,208,1
86,27,0,0,0.69,1,1586,209,1
86,28,0,0,0.72,1,1586,210,1
88,22,0,0,0.74,1,1621,211,1
88,23,0,0,0.6,1,1621,212,1
89,17,0,0,0.74,1,1635,213,1
89,18,0,0,0.55,1,1635,214,1
89,20,0,0,0.59,1,1636,215,1
89,21,0,0,0.82,1,1636,216,1
89,22,0,0,0.97,1,1636,217,1
91,21,0,0,0.63,1,1676,218,1
92,17,0,0,0.68,1,1692,219,1
92,20,0,0,0.5,1,1694,220,1
92,21,0,0,1.0,1,1694,221,1
92,22,0,0,0.94,1,1694,222,1
92,25,0,0,0.58,1,1696,223,1
92,26,0,0,0.52,1,1696,224,1
93,22,0,0,0.65,1,1712,225,1
94,18,0,0,0.83,1,1728,226,1
94,20,0,0,0.92,1,1729,227,1
94,21,0,0,0.88,1,1729,228,1
94,23,0,0,0.62,1,1730,229,1
94,26,0,0,0.53,1,1732,230,1
95,28,0,0,0.83,1,1754,231,1
95,29,0,0,0.9,1,1754,232,1
95,30,0,0,0.88,1,1754,233,1
99,10,0,0,0.6,1,1817,234,1
99,17,0,0,0.66,1,1823,235,1
99,18,0,0,0.59,1,1823,236,1
100,18,0,0,1.01,1,1843,237,1
100,19,0,0,1.0,1,1843,238,1
100,20,0,0,0.94,1,1843,239,1
101,24,0,0,0.74,1,1867,240,1
101,25,0,0,0.71,1,1867,241,1
101,26,0,0,0.68,1,1867,242,1
104,13,0,0,0.95,2,1896,243,1
104,17,0,0,1.01,2,1899,244,1
104,18,0,0,0.76,2,1899,245,1
104,20,0,0,0.6,2,1900,246,1
104,21,0,0,1.01,2,1900,247,1
104,22,0,0,0.6,2,1900,248,1
105,11,0,0,0.88,2,1909,249,1
106,11,0,0,0.52,2,1929,250,1
106,13,0,0,0.67,2,1930,251,1
106,14,0,0,0.68,2,1930,252,1
106,15,0,0,0.58,2,1930,253,1
106,16,0,0,0.61,2,1930,254,1
106,17,0,0,0.88,2,1930,255,1
106,18,0,0,0.79,2,1930,256,1
106,19,0,0,0.84,2,1930,257,1
106,20,0,0,0.87,2,1930,258,1
106,21,0,0,0.94,2,1930,259,1
106,22,0,0,0.93,2,1930,260,1
106,23,0,0,0.96,2,1930,261,1
106,24,0,0,0.94,2,1930,262,1
106,30,0,0,0.53,2,1935,263,1
110,30,0,0,0.51,3,2017,264,1
111,27,0,0,0.6,3,2034,265,1
111,28,0,0,0.55,3,2034,266,1
111,30,0,0,0.69,3,2035,267,1
112,30,0,0,0.67,3,2055,268,1
114,12,0,0,0.86,3,2078,269,1
114,14,0,0,0.76,3,2079,270,1
114,19,0,0,0.71,3,2083,271,1
114,20,0,0,0.58,3,2083,272,1
114,21,0,0,0.54,3,2083,273,1
114,26,0,0,0.61,3,2087,274,1
115,10,0,0,0.59,3,2091,275,1
115,11,0,0,0.64,3,2091,276,1
115,12,0,0,0.52,3,2091,277,1
115,24,0,0,0.62,3,2102,278,1
115,25,0,0,0.58,3,2102,279,1
115,27,0,0,0.53,3,2103,280,1
115,29,0,0,0.53,3,2104,281,1
116,10,0,0,0.66,3,2105,282,1
116,13,0,0,0.51,3,2107,283,1
116,14,0,0,0.54,3,2107,284,1
116,20,0,0,0.51,3,2112,285,1
116,24,0,0,0.69,3,2115,286,1
116,25,0,0,0.68,3,2115,287,1
116,28,0,0,0.55,3,2117,288,1
116,29,0,0,0.63,3,2117,289,1
116,30,0,0,0.8,3,2117,290,1
118,28,0,0,0.8,3,2156,291,1
118,29,0,0,0.65,3,2156,292,1
118,30,0,0,0.67,3,2156,293,1
120,25,0,0,0.63,3,2192,294,1
120,26,0,0,0.53,3,2192,295,1
120,27,0,0,0.56,3,2192,296,1
120,29,0,0,0.55,3,2193,297,1
120,30,0,0,0.57,3,2193,298,1
121,14,0,0,0.54,3,2197,299,1
121,15,0,0,0.58,3,2197,300,1
121,16,0,0,0.69,3,2197,301,1
121,18,0,0,0.59,3,2198,302,1
122,15,0,0,0.51,4,2204,303,1
122,21,0,0,0.52,4,2209,304,1
122,22,0,0,0.64,4,2209,305,1
122,23,0,0,0.61,4,2209,306,1
125,10,0,0,0.52,5,2252,307,1
125,11,0,0,0.52,5,2252,308,1
125,14,0,0,0.95,5,2254,309,1
125,16,0,0,0.63,5,2255,310,1
125,17,0,0,0.91,5,2255,311,1
125,18,0,0,0.89,5,2255,312,1
125,19,0,0,0.77,5,2255,313,1
125,29,0,0,0.58,5,2264,314,1
126,20,0,0,0.93,5,2275,315,1
128,10,0,0,0.55,6,2287,316,1
132,13,0,0,0.56,8,2341,317,1
132,14,0,0,0.61,8,2341,318,1
132,16,0,0,0.68,8,2342,319,1
132,17,0,0,0.72,8,2342,320,1
132,18,0,0,0.73,8,2342,321,1
132,19,0,0,0.54,8,2342,322,1
136,11,0,0,1.08,10,2396,323,1
136,12,0,0,0.61,10,2396,324,1
136,13,0,0,0.81,10,2396,325,1
136,14,0,0,0.53,10,2396,326,1
136,17,0,0,0.62,10,2398,327,1
136,18,0,0,0.62,10,2398,328,1
136,19,0,0,0.63,10,2398,329,1
136,27,0,0,0.52,10,2405,330,1
136,28,0,0,0.65,10,2405,331,1
136,29,0,0,0.85,10,2405,332,1
136,30,0,0,0.69,10,2405,333,1
138,17,0,0,0.55,10,2433,334,1
138,19,0,0,0.6,10,2434,335,1
138,20,0,0,0.72,10,2434,336,1
138,21,0,0,0.93,10,2434,337,1
138,22,0,0,0.74,10,2434,338,1
139,29,0,0,0.52,10,2461,339,1
139,30,0,0,0.69,10,2461,340,1
142,10,0,0,0.51,10,2503,341,1
142,15,0,0,0.53,10,2507,342,1
142,20,0,0,0.54,10,2511,343,1
142,21,0,0,0.53,10,2511,344,1
142,23,0,0,0.56,10,2512,345,1
143,26,0,0,0.91,10,2535,346,1
143,27,0,0,0.95,10,2535,347,1
143,28,0,0,0.9,10,2535,348,1
144,29,0,0,0.57,10,2556,349,1
146,13,0,0,0.57,10,2581,350,1
147,30,0,0,0.53,10,2618,351,1
149,15,0,0,0.7,11,2642,352,1
149,22,0,0,1.08,11,2648,353,1
150,10,0,0,0.68,11,2656,354,1
150,11,0,0,0.52,11,2656,355,1
150,12,0,0,0.73,11,2656,356,1
152,10,0,0,1.02,12,2678,357,1
152,11,0,0,0.62,12,2678,358,1
152,13,0,0,0.79,12,2679,359,1
152,16,0,0,0.56,12,2681,360,1
152,18,0,0,0.65,12,2682,361,1
152,20,0,0,0.6,12,2683,362,1
153,10,0,0,0.68,12,2693,363,1
154,10,0,0,0.54,13,2693,364,1
154,17,0,0,0.76,13,2699,365,1
154,18,0,0,0.67,13,2699,366,1
154,19,0,0,0.83,13,2699,367,1
154,20,0,0,0.63,13,2699,368,1
155,10,0,0,0.61,14,2699,369,1
155,11,0,0,0.62,14,2699,370,1
155,13,0,0,0.67,14,2700,371,1
158,22,0,0,1.0,16,2737,372,1
158,25,0,0,0.54,16,2739,373,1
159,13,0,0,0.63,16,2747,374,1
159,14,0,0,0.69,16,2747,375,1
159,15,0,0,0.71,16,2747,376,1
160,18,0,0,0.65,16,2770,377,1
160,20,0,0,0.57,16,2771,378,1
160,22,0,0,0.57,16,2772,379,1
160,25,0,0,0.75,16,2774,380,1
160,26,0,0,0.61,16,2774,381,1
160,27,0,0,0.86,16,2774,382,1
161,11,0,0,1.07,16,2778,383,1
163,26,0,0,0.6,17,2814,384,1
166,11,0,0,0.56,17,2861,385,1
166,12,0,0,0.83,17,2861,386,1
166,15,0,0,0.58,17,2863,387,1
166,16,0,0,0.55,17,2863,388,1
166,17,0,0,0.61,17,2863,389,1
166,18,0,0,0.55,17,2863,390,1
166,19,0,0,0.82,17,2863,391,1
166,20,0,0,0.86,17,2863,392,1
166,21,0,0,0.83,17,2863,393,1
166,22,0,0,0.92,17,2863,394,1
166,26,0,0,0.63,17,2866,395,1
166,29,0,0,0.64,17,2868,396,1
168,25,0,0,0.54,18,2886,397,1
169,15,0,0,0.55,18,2896,398,1
169,16,0,0,0.63,18,2896,399,1
170,15,0,0,0.54,19,2901,400,1
170,29,0,0,0.61,19,2914,401,1
171,13,0,0,0.58,19,2918,402,1
171,14,0,0,0.6,19,2918,403,1
171,15,0,0,0.52,19,2918,404,1
171,16,0,0,0.65,19,2918,405,1
171,18,0,0,0.73,19,2919,406,1
171,19,0,0,0.64,19,2919,407,1
171,20,0,0,0.76,19,2919,408,1
171,21,0,0,0.77,19,2919,409,1
171,22,0,0,0.72,19,2919,410,1
171,24,0,0,0.97,19,2920,411,1
171,25,0,0,0.78,19,2920,412,1
171,26,0,0,0.6,19,2920,413,1
171,27,0,0,0.72,19,2920,414,1
171,28,0,0,0.64,19,2920,415,1
172,12,0,0,0.58,19,2924,416,1
172,13,0,0,0.81,19,2924,417,1
172,14,0,0,0.66,19,2924,418,1
172,15,0,0,0.82,19,2924,419,1
172,16,0,0,0.96,19,2924,420,1
172,23,0,0,1.06,19,2930,421,1
172,25,0,0,0.88,19,2931,422,1
173,12,0,0,0.54,19,2938,423,1
175,13,0,0,0.68,20,2960,424,1
175,14,0,0,0.7,20,2960,425,1
176,18,0,0,0.99,20,2984,426,1
176,19,0,0,0.58,20,2984,427,1
176,20,0,0,0.74,20,2984,428,1
176,23,0,0,0.91,20,2986,429,1
177,14,0,0,0.72,20,2997,430,1
177,15,0,0,0.81,20,2997,431,1
177,16,0,0,0.59,20,2997,432,1
177,23,0,0,0.5,20,3003,433,1
177,24,0,0,0.67,20,3003,434,1
177,25,0,0,0.76,20,3003,435,1
178,10,0,0,0.61,20,3008,436,1
178,12,0,0,0.62,20,3009,437,1
178,13,0,0,0.5,20,3009,438,1
178,14,0,0,0.71,20,3009,439,1
178,29,0,0,0.53,20,3023,440,1
178,30,0,0,0.52,20,3023,441,1
180,10,0,0,0.83,20,3044,442,1
180,11,0,0,0.69,20,3044,443,1
180,16,0,0,0.79,20,3048,444,1
180,17,0,0,0.51,20,3048,445,1
180,18,0,0,0.61,20,3048,446,1
181,12,0,0,0.51,21,3051,447,1
181,13,0,0,0.86,21,3051,448,1
181,15,0,0,0.71,21,3052,449,1
181,20,0,0,0.91,21,3056,450,1
181,23,0,0,0.52,21,3058,451,1
181,25,0,0,0.54,21,3059,452,1
181,27,0,0,0.71,21,3060,453,1
182,12,0,0,0.67,21,3065,454,1
182,17,0,0,0.68,21,3069,455,1
182,23,0,0,0.53,21,3074,456,1
182,30,0,0,0.65,21,3080,457,1
183,13,0,0,0.81,21,3083,458,1
186,10,0,0,0.57,22,3122,459,1
186,11,0,0,0.77,22,3122,460,1
187,14,0,0,0.59,23,3126,461,1
187,15,0,0,0.63,23,3126,462,1
187,18,0,0,0.72,23,3128,463,1
187,19,0,0,0.72,23,3128,464,1
187,20,0,0,0.58,23,3128,465,1
187,21,0,0,0.63,23,3128,466,1
187,22,0,0,0.61,23,3128,467,1
187,23,0,0,0.88,23,3128,468,1
187,24,0,0,0.64,23,3128,469,1
187,25,0,0,0.87,23,3128,470,1
187,26,0,0,0.59,23,3128,471,1
187,27,0,0,0.83,23,3128,472,1
187,29,0,0,0.79,23,3129,473,1
188,20,0,0,0.53,23,3140,474,1
188,21,0,0,0.76,23,3140,475,1
188,22,0,0,0.79,23,3140,476,1
188,23,0,0,0.61,23,3140,477,1
192,13,0,0,0.97,24,3203,478,1
192,23,0,0,0.5,24,3212,479,1
192,27,0,0,0.5,24,3215,480,1
195,29,0,0,0.51,25,3266,481,1
197,10,0,0,0.68,25,3288,482,1
197,11,0,0,0.83,25,3288,483,1
197,12,0,0,0.91,25,3288,484,1
197,13,0,0,0.77,25,3288,485,1
197,14,0,0,0.65,25,3288,486,1
198,22,0,0,0.58,26,3300,487,1
198,25,0,0,0.56,26,3302,488,1
199,10,0,0,0.61,26,3303,489,2
199,14,0,0,0.67,26,3306,490,2
199,15,0,0,0.64,26,3306,491,2
199,16,0,0,0.74,26,3306,492,2
199,17,0,0,0.64,26,3306,493,2
199,18,0,0,0.59,26,3306,494,2
199,19,0,0,0.53,26,3306,495,2
199,20,0,0,0.66,26,3306,496,2
199,26,0,0,0.6,26,3311,497,2
199,28,0,0,0.56,26,3312,498,2
202,16,0,0,0.54,27,3351,499,2
202,17,0,0,0.58,27,3351,500,2
202,18,0,0,0.51,27,3351,501,2
202,19,0,0,0.59,27,3351,502,2
203,12,0,0,0.69,27,3364,503,2
203,24,0,0,0.54,27,3375,504,2
203,25,0,0,0.69,27,3375,505,2
203,26,0,0,0.76,27,3375,506,2
203,27,0,0,0.85,27,3375,507,2
203,29,0,0,0.85,27,3376,508,2
203,30,0,0,1.0,27,3376,509,2
204,10,0,0,0.57,27,3376,510,2
204,11,0,0,0.57,27,3376,511,2
205,23,0,0,0.51,27,3408,512,2
205,26,0,0,0.54,27,3410,513,2
207,18,0,0,0.54,28,3431,514,2
207,19,0,0,0.59,28,3431,515,2
207,20,0,0,0.78,28,3431,516,2
207,21,0,0,0.66,28,3431,517,2
209,14,0,0,0.66,29,3456,518,2
209,16,0,0,0.61,29,3457,519,2
209,19,0,0,0.67,29,3459,520,2
209,20,0,0,0.68,29,3459,521,2
212,11,0,0,0.58,30,3504,522,2
213,21,0,0,0.55,31,3517,523,2
215,23,0,0,0.52,31,3560,524,2
215,24,0,0,0.58,31,3560,525,2
215,25,0,0,0.97,31,3560,526,2
215,27,0,0,0.63,31,3561,527,2
216,12,0,0,0.53,31,3566,528,2
216,13,0,0,0.68,31,3566,529,2
216,14,0,0,0.54,31,3566,530,2
217,17,0,0,0.61,32,3574,531,2
217,18,0,0,0.53,32,3574,532,2
217,19,0,0,0.51,32,3574,533,2
217,23,0,0,0.81,32,3577,534,2
217,24,0,0,0.72,32,3577,535,2
217,25,0,0,0.65,32,3577,536,2
217,26,0,0,0.7,32,3577,537,2
217,27,0,0,0.6,32,3577,538,2
217,28,0,0,0.54,32,3577,539,2
217,30,0,0,0.6,32,3578,540,2
219,10,0,0,0.53,33,3583,541,2
221,11,0,0,0.65,35,3602,542,2
221,12,0,0,0.78,35,3602,543,2
221,13,0,0,0.57,35,3602,544,2
221,14,0,0,0.85,35,3602,545,2
221,15,0,0,0.72,35,3602,546,2
221,26,0,0,0.51,35,3612,547,2
222,10,0,0,0.69,35,3616,548,2
222,13,0,0,0.52,35,3618,549,2
223,10,0,0,0.52,36,3618,550,2
223,11,0,0,0.57,36,3618,551,2
223,12,0,0,0.55,36,3618,552,2
223,17,0,0,0.51,36,3622,553,2
224,19,0,0,0.51,36,3631,554,3
224,21,0,0,0.53,36,3632,555,3
224,22,0,0,0.65,36,3632,556,3
224,23,0,0,0.51,36,3632,557,3
224,24,0,0,0.62,36,3632,558,3
224,25,0,0,0.63,36,3632,559,3
224,28,0,0,0.56,36,3634,560,3
224,30,0,0,0.67,36,3635,561,3
225,30,0,0,0.56,36,3655,562,3
227,25,0,0,0.6,37,3673,563,3
228,11,0,0,0.52,37,3679,564,3
228,12,0,0,0.75,37,3679,565,3
228,13,0,0,0.76,37,3679,566,3
228,14,0,0,0.55,37,3679,567,3
228,15,0,0,0.61,37,3679,568,3
228,17,0,0,0.52,37,3680,569,3
230,19,0,0,0.51,38,3705,570,3
230,20,0,0,0.7,38,3705,571,3
230,21,0,0,0.54,38,3705,572,3
230,24,0,0,0.62,38,3707,573,3
231,12,0,0,1.14,38,3715,574,3
231,13,0,0,0.65,38,3715,575,3
232,15,0,0,0.52,38,3731,576,4
232,16,0,0,0.65,38,3731,577,4
232,17,0,0,0.52,38,3731,578,4
232,18,0,0,0.52,38,3731,579,4
232,19,0,0,0.52,38,3731,580,4
232,20,0,0,0.51,38,3731,581,4
232,29,0,0,0.67,38,3739,582,4
233,11,0,0,0.86,38,3740,583,5
235,11,0,0,0.83,39,3761,584,5
235,12,0,0,0.67,39,3761,585,5
235,18,0,0,0.51,39,3766,586,5
235,19,0,0,0.59,39,3766,587,5
235,20,0,0,0.69,39,3766,588,5
235,22,0,0,0.88,39,3767,589,5
235,23,0,0,0.97,39,3767,590,5
235,24,0,0,0.73,39,3767,591,5
235,25,0,0,0.54,39,3767,592,5
235,26,0,0,0.73,39,3767,593,5
235,27,0,0,0.74,39,3767,594,5
235,28,0,0,0.57,39,3767,595,5
235,30,0,0,0.73,39,3768,596,5
236,15,0,0,0.64,39,3773,597,5
236,17,0,0,0.56,39,3774,598,5
236,18,0,0,0.5,39,3774,599,5
236,19,0,0,0.65,39,3774,600,5
236,22,0,0,0.7,39,3776,601,5
236,24,0,0,0.68,39,3777,602,5
236,25,0,0,0.55,39,3777,603,5
236,26,0,0,0.82,39,3777,604,5
236,28,0,0,0.74,39,3778,605,5
238,11,0,0,0.66,40,3796,606,5
238,12,0,0,0.77,40,3796,607,5
238,13,0,0,0.64,40,3796,608,5
238,14,0,0,0.68,40,3796,609,5
238,15,0,0,0.87,40,3796,610,5
238,16,0,0,0.67,40,3796,611,5
238,17,0,0,0.93,40,3796,612,5
238,26,0,0,0.54,40,3804,613,5
239,20,0,0,0.55,40,3818,614,5
239,22,0,0,0.73,40,3819,615,5
241,14,0,0,0.73,41,3837,616,5
241,19,0,0,0.95,41,3841,617,5
241,21,0,0,0.53,41,3842,618,5
241,24,0,0,0.93,41,3844,619,5
242,16,0,0,0.62,41,3856,620,5
242,17,0,0,0.7,41,3856,621,5
242,18,0,0,0.62,41,3856,622,5
242,19,0,0,0.63,41,3856,623,5
242,20,0,0,0.65,41,3856,624,5
243,19,0,0,0.69,41,3865,625,6
243,20,0,0,0.65,41,3865,626,6
243,21,0,0,0.74,41,3865,627,6
244,19,0,0,0.67,42,3874,628,6
244,20,0,0,0.62,42,3874,629,6
244,21,0,0,0.55,42,3874,630,6
245,13,0,0,0.63,42,3886,631,6
245,14,0,0,0.68,42,3886,632,6
245,17,0,0,0.82,42,3888,633,6
245,22,0,0,0.82,42,3892,634,6
245,24,0,0,0.94,42,3893,635,6
249,18,0,0,0.51,44,3942,636,6
251,10,0,0,0.64,44,3975,637,6
251,12,0,0,0.61,44,3976,638,6
252,17,0,0,0.58,44,3983,639,7
252,21,0,0,0.52,44,3986,640,7
252,23,0,0,0.66,44,3987,641,7
252,24,0,0,0.54,44,3987,642,7
252,25,0,0,0.56,44,3987,643,7
252,26,0,0,0.73,44,3987,644,7
254,10,0,0,0.66,44,4012,645,7
254,11,0,0,0.93,44,4012,646,7
254,13,0,0,0.56,44,4013,647,7
254,14,0,0,0.72,44,4013,648,7
254,15,0,0,0.64,44,4013,649,7
254,16,0,0,0.52,44,4013,650,7
254,18,0,0,0.63,44,4014,651,7
255,23,0,0,0.59,44,4039,652,7
260,16,0,0,0.65,46,4109,653,7
260,17,0,0,1.0,46,4109,654,7
260,18,0,0,0.97,46,4109,655,7
260,28,0,0,0.86,46,4118,656,7
260,29,0,0,1.03,46,4118,657,7
262,15,0,0,0.5,46,4145,658,7
262,20,0,0,0.51,46,4149,659,7
262,21,0,0,0.64,46,4149,660,7
262,22,0,0,0.67,46,4149,661,7
262,23,0,0,0.65,46,4149,662,7
262,24,0,0,0.81,46,4149,663,7
262,28,0,0,0.51,46,4152,664,7
262,30,0,0,0.53,46,4153,665,7
